0,2,0.044757
42,8,0.460873
99,16,0.522165
114,18,0.53681
129,20,0.624363
144,22,0.776299
159,24,0.796489
173,26,0.932268
231,34,1.38889
246,36,1.42774
261,38,1.49756
505,70,1.54282
578,80,1.9822
680,94,2.11938
2611,358,2.42095
6747,924,2.54149
14443,1972,2.72222
18774,2562,3.10914
23428,3194,3.17358
45300,6172,3.31081
51915,7072,3.38398
331328,45124,3.46045
374328,50978,3.80435
457209,62278,4.11074
1376265,187454,4.22414
8582830,1168900,4.4708
13686613,1864108,4.60526
31814766,4332562,4.74806
81491746,11099072,5.42035
