0,2,0.265584
45,57,0.36578
100,112,0.486804
156,167,0.659041
211,222,0.913897
267,277,1.25311
324,332,1.64581
380,387,1.95161
437,442,2.41228
493,497,2.80612
549,552,3.08045
604,607,3.18421
660,662,3.29521
716,717,3.35366
936,937,3.50928
1216,1212,3.60979
1272,1267,3.86829
1495,1487,3.99077
1550,1542,4.16667
7480,7427,4.26056
8264,8197,4.35879
14192,14027,4.46165
24910,24642,4.86334
58362,57807,4.99175
86954,86132,5.05853
100485,99552,5.19759
176778,175067,6.0259
444510,440277,6.22428
4891677,4846382,6.32845
20072141,25979087,6.54762
27262535,38262127,6.90639
78943233,127653682,7.03488
