0,2,0.0309215
173,8,0.645328
266,14,0.694059
296,16,0.848608
327,18,0.946253
512,30,1.02712
807,48,1.05485
838,50,1.09938
900,54,1.48633
930,56,1.56055
2716,232,1.60875
2735,234,1.64258
2790,240,1.81422
3843,354,1.92604
12069,1248,1.97472
15503,1620,2.16638
27185,2898,2.22816
49130,5286,2.32775
57946,6244,2.47525
78861,8530,2.59875
259190,28178,2.64271
348679,37926,2.73523
530451,57756,2.88684
530470,57758,3.38753
16086204,1751304,3.4626
32341938,3521858,3.54108
32341957,3521860,3.62319
67128500,7309992,3.7092
67128539,7309996,3.79939
123515951,13451372,3.89408
