0,2,0.999616
38,53,1.33659
75,104,2.00385
188,257,2.38624
263,359,2.6167
301,410,2.63793
338,461,2.89644
377,512,3.06
452,614,3.14891
490,665,3.27582
1173,1583,3.41339
1211,1634,3.81378
3347,4541,3.85905
3470,4694,3.95289
4702,6377,4.15495
9204,12497,4.37879
26886,36569,4.5
34066,46361,4.69495
59718,81245,4.90755
135683,184724,5.58155
1045668,1422596,5.67904
4333427,5893715,5.88462
6174493,8397152,6.3439
22086199,30042419,6.47015
71114742,96754244,7.02973
151303862,205826720,7.18508
164951118,224386385,7.51734
174223079,237003224,8.07764
